Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Нестайко,Анжела,Остапівна,female,1945-11-09,Аудитор,хутір Кам'янське,"вулиця Разумовська, буд. 1 кв. 148, Рудки, 70234",031 405-60-53,opetryk@example.org
Ковпак,Федір,Кирилович,male,1951-09-10,Системний адміністратор,місто Ізмаїл,"проспект Чорноморський 9-й, буд. 584, Новий Розділ, 03352",089 626 67 74,zorianvyshyvanyi@example.com
Мазур,Костянтин,Зеновійович,male,1965-09-03,Менеджер з продукту,хутір Лохвиця,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 88, Дубляни, 43916",046 468 09 81,pbaran@example.net
Філіпенко,Єва,Денисівна,female,2007-06-04,Тестувальник,місто Васильків,"проспект Лінія 28-ма, буд. 47, Немирів, 34884",+380 60 845-76-47,varfolomiisomko@example.com
Ткач,Аарон,Давидович,male,1998-06-22,Програміст,місто Яремче,"сквер Добровольського, буд. 23, Новоазовськ, 56636",093 680 12 83,nazardanylchuk@example.net
Гавриш,Мартин,Леонідович,male,1957-12-25,Дизайнер,хутір Снігурівка,"площа Чорноморський 7-й, буд. 0, Снігурівка, 66874",+380 (93) 011-49-14,ihnat54@example.org
Проценко,Назар,Михайлович,male,1976-10-30,Архітектор,село Молодогвардійськ,"провулок Старокінний, буд. 6, Батурин, 85826",+380 64 668 82 39,orysiachupryna@example.org
Гавриленко,Олександр,Євгенович,male,1987-10-30,Асистент керівника,хутір Саки ,"парк Сортувальна 2-га, буд. 155, Славута, 15289",+380 70 990 58 94,hodunokvasylyna@example.org
Гузенко,Августин,Романович,male,1985-09-03,Аналітик даних,хутір Рожище,"парк Петрашевського, буд. 7, Попасна, 43815",572-19-40,adamchukdaryna@example.org
Власюк,Ілля,Євгенович,male,2005-10-09,Офіс-менеджер,село Зіньків,"шосе Чорноморський 8-й, буд. 8, Нова Одеса, 19262",092 117-02-90,lesykliudmyla@example.org
Швайка,Марина,Григоріївна,female,2006-10-01,Менеджер з продажу,село Сватове,"вулиця Луганська, буд. 40 кв. 0, Іршава, 83752",096 30 84,deinekolevko@example.org
Безбородьки,Назар,Васильович,male,1959-05-08,Архітектор,хутір Полтава,"вулиця Деволанівська, буд. 4 кв. 66, Жмеринка, 44276",+380 (40) 563-37-89,vprytula@example.com
Бездітко,Михайлина,Григоріївна,female,1995-10-21,Офіс-менеджер,місто Буринь,"вулиця Миколи Огренича, буд. 1, Сватове, 38886",+380 23 920 42 77,kamillaartiushenko@example.org
Гавриш,Артем,Ігорович,male,2006-06-01,Тестувальник,хутір Щастя ,"узвіз Дачний 1-й, буд. 3 кв. 881, Сватове, 91547",+380 (88) 868-04-43,iefrem62@example.org
Харченко,Тарас,Станіславович,male,1991-06-20,Фінансовий аналітик,селище Кам'янець-Подільський,"набережна Лінія 54-та, буд. 902 кв. 813, Бар, 07318",059 836 03 00,martadanchenko@example.org
Єсипенко,Олександр,Ярославович,male,2004-01-01,Менеджер з продукту,місто Луцьк,"проспект Заводська 4-та, буд. 2, Копичинці, 80459",+380 72 682 43 13,bhydenkokyrylo@example.com
Стус,Трохим,Ігорович,male,1959-07-06,HR-менеджер,хутір Молочанськ,"парк Садиковська, буд. 9 кв. 89, Золоте, 22813",+380 60 279-32-72,tkybkalo@example.net
Зайченко,Венедикт,Леонідович,male,1965-02-15,Аудитор,хутір Тернопіль,"набережна Радісна, буд. 593, Ізяслав, 32992",+380 28 732-38-71,isamoilenko@example.net
Єрмоленко,Аврелій,Захарович,male,1983-06-17,Кадровий менеджер,село Охтирка,"шосе Східний 2-й, буд. 05 кв. 75, Дрогобич, 09951",458 45 25,viktorzhuravel@example.net
Павлик,Климент,Остапович,male,1998-10-20,Аналітик даних,село Карлівка,"проспект Отрадна, буд. 725, Белз, 49420",096 984 41 92,pavloiakymchuk@example.com
Бгиденко,Веніямин,Володимирович,male,1965-03-11,Менеджер з продукту,село Носівка,"площа Скрипковий, буд. 869 кв. 9, Решетилівка, 21913",719 97 41,boryszatula@example.org
Ярема,Орися,Костянтинівна,female,1952-01-19,HR-менеджер,селище Погребище,"шосе Костанді, буд. 71, Гайсин, 87664",+380 56 101-72-53,bfranko@example.org
Андрійович,Амалія,Іванівна,female,1938-05-15,HR-менеджер,селище Запоріжжя,"провулок Таїрова, буд. 22 кв. 03, Рубіжне, 55832",109 18 77,mhuz@example.net
Андрусенко,Йосип,Кирилович,male,1969-05-09,Системний адміністратор,село Лохвиця,"сквер Одарія, буд. 44, Тараща, 61971",+380 (41) 301-87-67,vadym69@example.com
Лупій,Нестор,Денисович,male,1938-11-04,Менеджер з закупівель,місто Середина-Буда,"провулок Ніжинська, буд. 269, Молодогвардійськ, 53391",+380 26 144-96-66,iashchenkovalerii@example.net
Ірванець,Петро,Захарович,male,1984-04-06,Архітектор,селище Миколаївка ,"шосе Маяковського, буд. 475 кв. 89, Керч, 13409",023 046 52 11,oryna96@example.com
Гриценко,Ганна,Василівна,female,1939-05-04,Тестувальник,місто Жовква,"проспект Пресича Олександра, буд. 91 кв. 17, Прилуки, 25109",082 10 87,wzhalilo@example.com
Прокопович,Леопольд,Андрійович,male,1996-02-10,Програміст,село Тисмениця,"проспект Військовий узвіз, буд. 546, Угнів, 70311",142-40-51,wvermenych@example.com
Симоненко,Спас,Захарович,male,1979-03-26,Менеджер з продукту,селище Селидове,"шосе Ляпунова, буд. 59, Алчевськ, 27260",037 666 02 78,rzaichenko@example.com
Яременко,Олександр,Юрійович,male,1973-07-31,Архітектор,хутір Нововолинськ,"сквер Черепанових 2-й, буд. 45 кв. 932, Овруч, 98535",318 83 64,markovatamaniuk@example.org
Карпа,Євген,Леонідович,male,1995-03-07,Фінансовий аналітик,місто Решетилівка,"шосе Амбулаторний, буд. 64 кв. 475, Ясинувата, 36318",+380 48 539 18 71,ukashchenko@example.com
Алексюк,Михайло,Захарович,male,1997-12-13,Офіс-менеджер,селище Старий Самбір,"парк Лінія 45-та, буд. 8 кв. 48, Монастириська, 33253",+380 (49) 106-61-81,leontiimakarenko@example.net
Кириленко,Дан,Зеновійович,male,2001-02-08,Копірайтер,хутір Прилуки,"шосе Обсерваторний, буд. 48 кв. 8, Бібрка, 98441",+380 36 754-67-11,turkalodemyd@example.com
Цюпа,Олена,Олександрівна,female,1960-12-06,Асистент керівника,селище Прип'ять ,"вулиця Ашгабатська, буд. 868 кв. 8, Броди, 25012",+380 69 593-76-51,qkhorishko@example.com
Свириденко,Клавдія,Ярославівна,female,1941-02-02,Інженер з якості,хутір Привілля,"шосе Шкільний аеродром, буд. 8, Борислав, 48173",+380 15 097-30-25,iemetsiustym@example.org
Пʼятаченко,Мирон,Ігорович,male,1979-08-17,Менеджер з продажу,хутір Суходільськ,"узвіз Військовий узвіз, буд. 04, Помічна, 20061",099 048-90-05,kdankiv@example.com
Назаренко,Гаврило,Григорійович,male,1959-03-15,Копірайтер,хутір Помічна,"набережна Велика Арнаутська, буд. 440, Чортків, 17915",015 521 83 47,olhatsarenko@example.com
Бандура,Пармен,Зеновійович,male,1967-05-24,Менеджер з маркетингу,село Новодністровськ,"проспект Товарний, буд. 19 кв. 792, Скадовськ, 59894",330 31 60,skorobohatkonestor@example.com
Наливайко,Геннадій,Костянтинович,male,1997-02-28,Менеджер з продукту,хутір Вараш,"площа Лазурний 4-й, буд. 66, Гірник , 28919",+380 (83) 857-73-43,riaboviliukhym@example.com
Смик,Йосип,Леонідович,male,1966-03-17,Дизайнер,селище Марганець ,"провулок Ванцетті, буд. 0, Селидове, 36095",+380 29 142-62-26,xshapoval@example.org
Гузенко,Пантелеймон,Володимирович,male,1985-06-09,Програміст,хутір Токмак,"парк Кондренка, буд. 706, Олександрія, 48068",218 18 52,iosyp27@example.com
Демиденко,Златослава,Михайлівна,female,1974-02-11,PR-менеджер,селище Буча,"проспект Гагарінське плато, буд. 088 кв. 126, Добромиль, 53076",484 86 94,oresthavryshkevych@example.net
Чалий,Сніжана,Євгенівна,female,1997-10-01,Програміст,хутір Новий Розділ,"площа Проектний 5-й, буд. 29, Южноукраїнськ, 92004",+380 64 696-64-55,udubas@example.com
Ярош,Пантелеймон,Максимович,male,1979-04-05,Офіс-менеджер,хутір Кропивницький,"набережна Шефська, буд. 0 кв. 025, Білопілля, 50709",+380 65 620-01-87,shevchenkofeofan@example.org
Масляк,Ірина,Михайлівна,female,1940-09-05,Тестувальник,місто Знам'янка,"проспект ім. К.Г. Паустовського, буд. 6, Охтирка, 14143",+380 (22) 926-10-34,dotsenkoherman@example.org
Аврамчук,Тереза,Володимирівна,female,1980-09-09,HR-менеджер,місто Бахмач,"проспект Курортний 6-й, буд. 559, Сокаль, 20628",040 902 86 88,nestor64@example.net
Шаблій,Софія,Романівна,female,1988-09-20,Менеджер з продукту,місто Бахмач,"площа Онезька, буд. 00, Скалат, 92096",+380 98 245-51-10,panassirobaba@example.org
Лукаш,Христина,Юріївна,female,1943-12-27,Дизайнер,село Сновськ,"узвіз Садова 6-та, буд. 19, Решетилівка, 30351",+380 49 406 61 36,bohdannakorolenko@example.org
Михалюк,Мирон,Юрійович,male,1945-04-19,Офіс-менеджер,селище Балаклія,"шосе Слов'янська, буд. 28 кв. 222, Семенівка, 52650",009 250-11-63,kolodubleontii@example.net
Цісик,Орест,Кирилович,male,1943-06-26,Менеджер з продукту,місто Калинівка ,"площа Новиков міст, буд. 8 кв. 2, Світлодарськ, 39237",+380 44 479-95-11,klavdiiakashchenko@example.com
Архипенко,Едита,Павлівна,female,1942-05-26,HR-менеджер,село Угнів,"вулиця Кінна, буд. 5, Благовіщенське, 36112",+380 03 679-51-18,vanchenkohlib@example.net
Кабалюк,Григорій,Федорович,male,1950-02-05,Менеджер з продукту,село Устилуг,"набережна Інтернаціональний, буд. 138, Галич, 63209",302 63 07,gzinkevych@example.com
Микитюк,Дан,Кирилович,male,1957-06-01,Програміст,селище Первомайськ,"вулиця Ключовий 1-й, буд. 975 кв. 57, Чистякове, 68526",+380 (44) 897-53-79,dubasiustym@example.net
Деряжний,Златослава,Федорівна,female,2007-12-24,Менеджер з маркетингу,селище Одеса,"узвіз Людмили Гінзбург, буд. 0 кв. 5, Красногорівка, 94187",088 912-02-51,viktorhutsuliak@example.com
Андрійович,Адам,Марківич,male,2002-11-15,Офіс-менеджер,селище Первомайський ,"вулиця Отамана Чепіги, буд. 07, Кременець, 56971",045 229-13-42,nestormamchur@example.org
Онищенко,Єлисавета,Сергіївна,female,1943-11-12,Менеджер з продажу,селище Олександрія,"шосе Катерининська, буд. 978 кв. 097, Бібрка, 79396",+380 (82) 786-00-67,galaganaaron@example.net
Таран,Соломія,Ярославівна,female,1940-05-29,Менеджер з продукту,село Хоростків,"провулок Рачкова, буд. 33, Миколаїв, 68160",+380 55 830-89-50,spas20@example.net
Ящук,Володимира,Ярославівна,female,1980-02-11,Офіс-менеджер,селище Долинська,"проспект Умова, буд. 1 кв. 6, Краматорськ, 20978",+380 28 868-25-21,abramenkodavyd@example.org
Ванченко,Гордій,Андрійович,male,1955-12-22,Менеджер з продажу,селище Судова Вишня,"сквер Рожева, буд. 75 кв. 8, Дружківка, 17436",074 779 05 88,nadiia13@example.net
Александренко,Ганна,Романівна,female,1950-03-05,Менеджер з закупівель,селище Мерефа,"набережна Лінія 38-ма, буд. 31 кв. 8, Вижниця, 21563",+380 (47) 905-04-12,edemydenko@example.net
Джус,Ада,Марківна,female,1982-01-20,Офіс-менеджер,селище Тисмениця,"проспект Лінія 31-ша, буд. 062 кв. 79, Тернівка , 80468",+380 (53) 797-98-29,symonenkoirena@example.com
Дейнека,Богуслава,Андріївна,female,1940-12-18,Фінансовий аналітик,село Севастополь,"вулиця Різницький, буд. 939 кв. 2, Українка , 05963",819 04 26,oleh46@example.com
Тесленко,Данило,Олексійович,male,1995-09-03,Копірайтер,хутір Решетилівка,"шосе Єврейська, буд. 61 кв. 4, Богодухів, 34518",+380 34 937-88-53,fisaievych@example.net
Байда,Людмила,Мар'янівна,female,1959-05-03,Асистент керівника,хутір Обухів,"сквер Аеропортівський 2-й, буд. 606 кв. 435, Підгайці, 67902",+380 98 918-12-92,anastasiiazaruba@example.org
Дутка,Франц,Марківич,male,1960-07-07,Менеджер з маркетингу,село Долина ,"провулок Гагарінське плато, буд. 0, Горішні Плавні, 31717",+380 18 864 63 19,leonidhaidenko@example.org
Голобородько,Федір,Геннадійович,male,1942-04-10,Тестувальник,місто Бібрка,"провулок Слобідський узвіз, буд. 8, Рені, 78628",034 499-91-19,avhustynhavryliuk@example.com
Бабій,Орися,Максимівна,female,2008-09-01,Менеджер з закупівель,селище Сміла,"парк Новгородський 2-й, буд. 40, Кипуче, 71890",917-41-79,piarosh@example.org
Іващенко,Ліза,Михайлівна,female,1995-04-14,Аналітик даних,місто Лиман ,"провулок Скляний 2-й, буд. 68 кв. 035, Вознесенськ, 05635",026 981 37 22,dubaspylyp@example.net
Данько,Олесь,Назарович,male,1981-11-02,Аудитор,село Ясинувата,"узвіз Різницький, буд. 6, Суми, 05779",674 17 01,kostiantynneporozhnii@example.org
Корпанюк,Геннадій,Олександрович,male,1999-06-03,PR-менеджер,хутір Ватутіне,"сквер Молодіжна, буд. 673, Яготин, 91210",+380 55 745 49 48,ipetryk@example.com
Фоменко,Болеслав,Володимирович,male,1946-04-17,Менеджер з маркетингу,селище Кам'янка-Бузька,"вулиця Академіка Панкратової, буд. 6 кв. 3, Бобровиця, 45306",+380 83 801 90 20,shevchenkoruslan@example.org
Калениченко,Роксолана,Володимирівна,female,1946-09-29,Аудитор,місто Ірміно,"сквер Слави, буд. 02 кв. 74, Червоносів, 85287",+380 78 953-83-77,zynovii95@example.org
Вдовенко,Вадим,Михайлович,male,1962-04-26,Менеджер з маркетингу,селище Болград,"вулиця Оранжерейний, буд. 749 кв. 4, Берегове, 88845",071 266-46-35,vernyhoraiaryna@example.org
Лагода,Віктор,Зеновійович,male,2005-01-28,Кадровий менеджер,місто Зіньків,"проспект Михайла Грушевського, буд. 6, Гнівань, 56339",721 43 25,okhrimtymchenko@example.org
Авраменко,Георгій,Назарович,male,1994-09-30,Інженер з якості,селище Соледар,"шосе Старокінний, буд. 89, Алупка, 61096",980 73 18,bohdanna82@example.com
Штокало,Варфоломій,Захарович,male,1940-03-17,Офіс-менеджер,село Чоп,"провулок Миколи Боровського, буд. 8, Верхньодніпровськ, 91274",011 132 42 00,tkachenkoroksolana@example.net
Корж,Олександр,Сергійович,male,1989-03-27,Аудитор,хутір Помічна,"проспект Романтичний, буд. 4 кв. 409, Саки , 76313",031 880 03 10,klymenttokar@example.com
Дейнеко,Геннадій,Леонідович,male,2001-10-18,Офіс-менеджер,місто Волочиськ,"шосе Елеваторна, буд. 92 кв. 62, Кіцмань, 52513",+380 (41) 119-93-15,rostyslav71@example.com
Гайденко,Прохір,Васильович,male,2002-11-07,Кадровий менеджер,селище Козятин,"шосе Академіка Глушка, буд. 2, Карлівка, 30449",046 784 58 15,leonid96@example.net
Талан,Василина,Зеновіївна,female,1973-05-25,HR-менеджер,селище Дубляни,"сквер Дорбуду, буд. 75 кв. 64, Яготин, 86164",092 005 32 73,taranadam@example.net
Штокало,Тарас,Іванович,male,1972-02-21,Фінансовий аналітик,місто Тульчин,"сквер Макова, буд. 12 кв. 38, Одеса, 01955",625 70 46,sheremettymofii@example.org
Швачко,Орися,Іванівна,female,1959-03-07,Системний адміністратор,місто Мала Виска,"набережна Ботанічний, буд. 711 кв. 2, Баштанка, 19169",543 73 68,volodymyra33@example.net
Ященко,Левко,Володимирович,male,1979-03-04,Менеджер з маркетингу,селище Шумськ,"провулок Сабанський, буд. 7, Лозова , 49017",003 909 26 72,tarashodunok@example.net
Мазур,Марія,Остапівна,female,1947-07-27,Менеджер з закупівель,хутір Антрацит ,"вулиця Перша, буд. 3 кв. 057, Харків, 92262",+380 (10) 883-83-31,qvermenych@example.net
Даниленко,Лариса,Остапівна,female,1952-11-15,Програміст,селище Снятин,"шосе Грузинська, буд. 814 кв. 837, Болехів, 01908",776-30-15,sbabiak@example.org
Парасюк,Світлана,Михайлівна,female,1958-09-23,Менеджер з продукту,селище Токмак,"провулок Лінія 50-та, буд. 669, Новомосковськ, 60751",+380 83 986-26-15,tetiana25@example.net
Бевз,Петро,Тимофійович,male,1982-07-19,Копірайтер,хутір Бахмач,"узвіз Прохоровська, буд. 7, Скадовськ, 44892",+380 51 292 77 93,aleksiukkhoma@example.com
Давимука,Станіслав,Романович,male,1947-12-15,Менеджер з закупівель,хутір Зборів,"парк Маринеско узвіз, буд. 3 кв. 684, Калуш, 98353",+380 (20) 414-37-30,panasartymovych@example.net
Левченко,Віктор,Ярославович,male,1993-12-23,Асистент керівника,селище Хорол ,"парк Мічманський 1-й, буд. 167 кв. 7, Чуднів, 18691",+380 74 739-40-48,martynlahoda@example.net
Ґоляш,Феофан,Геннадійович,male,1978-09-25,Менеджер з продажу,хутір Маріуполь,"вулиця Пішонівська, буд. 609, Путивль, 69955",+380 14 358-47-26,zhadanalina@example.org
Венгринович,Пилип,Мар'янович,male,1997-11-23,PR-менеджер,місто Чуднів,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 63, Костянтинівка, 49706",+380 35 896 83 11,prokhir20@example.com
Заруба,Герман,Вікторович,male,1952-12-05,Кадровий менеджер,місто Курахове,"проспект Лінія 38-ма, буд. 72 кв. 86, Прип'ять , 77641",+380 (65) 863-29-23,ghavrylets@example.com
Охримович,Віра,Юріївна,female,1987-10-06,Системний адміністратор,місто Святогірськ,"шосе Дачний 2-й, буд. 4 кв. 5, Іловайськ, 64746",838 01 73,amvrosii42@example.net
Артимович,Вʼячеслав,Захарович,male,2007-05-04,PR-менеджер,хутір Стебник,"сквер Ясна, буд. 7 кв. 2, Залізне, 96246",+380 92 161-76-39,fzhuchenko@example.net
Вітер,Ада,Володимирівна,female,1956-10-26,Кадровий менеджер,місто Броди,"узвіз Об'їзна дорога, буд. 27 кв. 2, Покровськ, 54882",+380 (55) 669-15-90,ustymtsisyk@example.org
Стельмах,Світлана,Вікторівна,female,1993-12-29,Менеджер з маркетингу,село Корюківка,"проспект Ботанічний, буд. 551, Іллінці, 77326",+380 95 707-67-15,valerii71@example.net
Бабенко,Азар,Станіславович,male,1978-02-12,Копірайтер,селище Стрий,"проспект Тепла, буд. 79, Хрустальний, 65246",951-11-59,akovalenko@example.com
Бевз,Пилип,Леонідович,male,1948-02-07,Кадровий менеджер,село Лозова ,"проспект Нова, буд. 90 кв. 032, Нова Каховка, 08333",052 445 63 09,tetiana08@example.net
Іваненко,Марина,Костянтинівна,female,1943-04-24,Менеджер з маркетингу,хутір Сулимівка (Слов'янськ),"парк Селекційна, буд. 6 кв. 42, Білозерське, 77879",672-90-97,derkachvalerii@example.com
Коваленко,Пармен,Борисович,male,1991-05-27,Офіс-менеджер,селище Обухів,"проспект Водопровідна, буд. 94 кв. 4, Бурштин , 48509",+380 04 861-26-00,tdakhno@example.net
Архипенко,Ярослав,Геннадійович,male,1965-08-16,Фінансовий аналітик,місто Надвірна,"узвіз Манежний, буд. 92, Красилів, 88013",+380 (63) 233-41-59,xarsenych@example.org
Черінько,Ада,Мар'янівна,female,2004-02-03,Архітектор,хутір Житомир,"узвіз Деревообробний 5-й, буд. 11, Верхньодніпровськ, 34110",094 796 77 64,labaalbina@example.net
Чуприна,Степан,Назарович,male,1970-01-25,Асистент керівника,село Хрестівка,"парк Короленка, буд. 34 кв. 92, Селидове, 47707",+380 57 322 65 26,okhrimdavydenko@example.org
Гузенко,Ірена,Олегівна,female,1954-06-02,Фінансовий аналітик,місто Добромиль,"проспект Коцюбинського, буд. 773 кв. 645, Гірське, 92967",075 398 45 00,zatulabohdan@example.com
Даньків,Софія,Кирилівна,female,1986-10-30,Бухгалтер,хутір Тиврів,"сквер Довга, буд. 035 кв. 689, Рожище, 91814",075 925-63-45,qartymyshyn@example.net
Ісаєнко,Онисим,Остапович,male,2001-04-06,Інженер з якості,село Хорол ,"провулок Листяний, буд. 4, Ічня, 96883",023 282 71 76,svitlana87@example.net
Яковенко,Георгій,Захарович,male,1982-04-16,Інженер з якості,місто Галич,"провулок Зернова, буд. 41 кв. 64, Тернівка , 25849",+380 37 668-29-12,feofandarahan@example.org
Смик,Йосип,Сергійович,male,1975-07-20,Аналітик даних,село Таврійськ,"проспект Сумська, буд. 451 кв. 487, Прилуки, 79064",+380 02 519 19 62,pylypandroshchuk@example.org
Сацюк,Орина,Леонідівна,female,1984-09-12,HR-менеджер,хутір Новоукраїнка,"сквер Станційна 3-тя, буд. 65, Золотоноша, 23795",040 047 35 62,oleh48@example.net
Верховинець,Анастасія,Зеновіївна,female,2004-03-20,Тестувальник,місто Рава-Руська,"вулиця Глазунова, буд. 3, Рубіжне, 41321",+380 09 513-52-91,tereshchukbohuslav@example.com
Затовканюк,Амалія,Станіславівна,female,1938-03-12,HR-менеджер,хутір Жидачів,"вулиця Юхима Фесенка, буд. 75 кв. 70, Голубівка, 10963",961 32 95,zabaraiaryna@example.org
Таран,Амалія,Андріївна,female,1972-05-25,Кадровий менеджер,село Вуглегірськ,"шосе Моторний 3-й, буд. 467, Кодима, 03568",+380 (85) 393-44-75,havrylenkoalbert@example.org
Христенко,Анастасія,Мар'янівна,female,1986-01-05,Програміст,село Родинське,"вулиця Зелена гірка, буд. 235, Моспине, 55187",+380 07 588-19-06,ishelest@example.org
Цісик,Аарон,Борисович,male,1961-12-26,Менеджер з продукту,селище Верхівцеве,"набережна Амурський 4-й, буд. 229, Іллінці, 23715",089 345-50-84,galaganamvrosii@example.org
Цимбал,Тимофій,Сергійович,male,1965-03-18,PR-менеджер,село Соледар,"провулок Ризька, буд. 771, Білопілля, 20324",+380 33 827 78 18,baranetsiakiv@example.net
Чаленко,Дмитро,Олегович,male,1963-09-11,Програміст,селище Армянськ,"набережна Перший Кришталевий, буд. 962 кв. 46, Миколаїв, 15634",907 74 90,danyliukdaryna@example.com
Ірванець,Юхим,Сергійович,male,1989-06-26,Асистент керівника,селище Енергодар,"площа Кузнечна, буд. 110, Дружківка, 77983",063 188 47 86,mykhailo80@example.com
Стець,Юстим,Михайлович,male,1963-11-22,Менеджер з продажу,селище Ромни,"вулиця Виноградна 3-тя, буд. 40, Березівка, 40618",039 565-74-19,maksym03@example.org
Вишиваний,Феофан,Вікторович,male,1993-01-05,Інженер з якості,місто Антрацит ,"площа Килимовий, буд. 923, Антрацит , 62088",052 767-56-74,avhustyn41@example.net
Щербань,Лілія,Назарівна,female,1968-11-12,Інженер з якості,село Ізяслав,"провулок Рівності 1-й, буд. 78 кв. 82, Кадіївка, 60874",+380 (81) 837-83-80,ivanychukielysei@example.org
Павлик,Едита,Григоріївна,female,1958-10-07,HR-менеджер,селище Щастя ,"узвіз Олександра Тимошенка, буд. 846 кв. 49, Першотравенськ, 06031",+380 08 853 12 04,arsenostapchuk@example.com
Василенко,Теодор,Тимофійович,male,1972-01-17,PR-менеджер,село Соснівка ,"вулиця Дунайська, буд. 3 кв. 120, Зеленодольськ, 54200",+380 (20) 672-19-61,riabovilielysei@example.net
Євтушенко,Климент,Мар'янович,male,1989-07-14,Копірайтер,хутір Чугуїв,"набережна Ольгіївський узвіз, буд. 7 кв. 0, Нетішин, 54048",221-16-74,anzheladeisun@example.org
Скиба,Ліза,Кирилівна,female,1988-10-30,Асистент керівника,село Білопілля,"набережна Скворцова, буд. 7 кв. 89, Горохів, 78574",+380 65 091 29 13,qbashpolchenko@example.org
Гузь,Гаврило,Олександрович,male,1976-04-04,Аудитор,місто Вишневе ,"набережна Люстдорфська дорога, буд. 59, Миколаїв, 88293",+380 77 671-17-54,iokhrimenko@example.net
Батюк,Олекса,Костянтинович,male,1955-02-26,Аналітик даних,село Броди,"узвіз Короленка, буд. 3 кв. 1, Мерефа, 35201",051 340 46 76,redkoteodor@example.org
Ященко,Надія,Денисівна,female,1995-04-28,Програміст,місто Полонне,"узвіз Бахчева, буд. 7, Джанкой, 61763",+380 (24) 472-10-37,adamkonoplia@example.com
Рудько,Ганна,Павлівна,female,1952-02-11,Аналітик даних,місто Харцизьк,"узвіз Ф. Пішеніна, буд. 524 кв. 6, Херсон, 03349",+380 63 960-25-24,jstus@example.net
Алексюк,Богуслава,Романівна,female,1987-02-21,Дизайнер,селище Рені,"узвіз Манежний, буд. 674, Перещепине, 70316",033 877-64-32,pylyp23@example.org
Слюсар,Альбіна,Давидівна,female,1941-11-12,Аналітик даних,село Ірпінь,"провулок Водопровідний 2-й, буд. 32 кв. 6, Єнакієве, 92075",+380 26 908-38-63,hstelmakh@example.org
Макаренко,Семен,Геннадійович,male,1999-03-11,Копірайтер,селище Рубіжне,"узвіз Полуничний, буд. 05, Городенка, 14816",+380 22 014-93-60,gdeineko@example.org
Бгиденко,Августин,Володимирович,male,2008-02-08,Дизайнер,село Новомиргород,"шосе Виноградна 2-га, буд. 770 кв. 18, Старий Крим, 16283",794 66 87,olharadchenko@example.net
Вітрук,Спас,Геннадійович,male,1988-09-01,Системний адміністратор,село Очаків,"шосе Аркаса Миколи, буд. 449 кв. 576, Єнакієве, 34566",+380 (88) 221-92-17,lpetliura@example.net
Василашко,Богданна,Юріївна,female,1959-06-16,Кадровий менеджер,селище Кам'янка-Дніпровська,"вулиця Радісний, буд. 17, Новий Калинів, 54847",+380 77 557-23-05,hlibmykhailychenko@example.org
Вернигора,Василь,Леонідович,male,1956-01-20,Тестувальник,хутір Іловайськ,"проспект Локомотивний 2-й, буд. 67 кв. 071, Луцьк, 17679",173-29-03,iaryna75@example.com
Яценко,Надія,Кирилівна,female,2002-07-15,Програміст,місто Берестечко,"узвіз Нескучна, буд. 5, Тетіїв, 17076",040 949-86-05,taranklyment@example.net
Арсенич,Яків,Костянтинович,male,1966-05-08,Копірайтер,село Деражня,"площа Шилова, буд. 6, Новогродівка, 92005",052 70 17,qaleksandrenko@example.com
Ващук,Марта,Борисівна,female,1969-03-14,Системний адміністратор,місто Зборів,"набережна Тополиний, буд. 61, Ладижин, 04110",+380 79 888-48-33,petliuraalla@example.org
Юхименко,Людмила,Ігорівна,female,1939-12-26,Тестувальник,село Городенка,"узвіз Аеродромний 2-й, буд. 266, Сарни, 12636",+380 (27) 279-68-80,bohdantytarenko@example.org
Гуцуляк,Ірена,Борисівна,female,1975-07-15,Системний адміністратор,місто Яготин,"провулок Абрикосова, буд. 500 кв. 64, Кіцмань, 03027",+380 34 631-96-98,ada11@example.com
Гунько,Марта,Костянтинівна,female,1996-07-07,Менеджер з продукту,селище Шепетівка,"проспект Виноградний, буд. 50, Лебедин, 50759",044 778-88-20,onysym78@example.org
Фурс,Валентина,Василівна,female,2008-11-26,Фінансовий аналітик,місто Богодухів,"вулиця Лінія 26-та, буд. 3, Глиняни, 75906",+380 66 740-48-01,symonenkostefan@example.net
Демиденко,Пармен,Мар'янович,male,1966-01-05,Асистент керівника,селище Тетіїв,"узвіз Висока, буд. 41, Чернівці, 09656",070 364 71 46,snizhana50@example.net
Єрмоленко,Стефан,Зеновійович,male,1974-07-21,Менеджер з продажу,село Олешки,"провулок Суворовська, буд. 866, Миронівка, 31444",+380 79 619-74-75,danna80@example.com
Черненко,Ігнат,Ярославович,male,1947-12-02,HR-менеджер,місто Тисмениця,"сквер Старокінний, буд. 1 кв. 15, Брянка, 67239",091 621-22-17,huztetiana@example.org
Тимчук,Макар,Тимофійович,male,1996-07-12,Дизайнер,хутір Боково-Хрустальне,"вулиця Керченський 2-й, буд. 3 кв. 218, Верхньодніпровськ, 75124",+380 (39) 183-34-92,paliinataliia@example.org
Чаленко,Алевтин,Григорійович,male,1948-07-19,Програміст,хутір Трускавець,"шосе Цегляна, буд. 3 кв. 95, Татарбунари, 70851",158 49 75,lupiisnizhana@example.com
